Year,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Solo,Int,Sk,College/Univ
2016,5,171,SEA,Alex Collins,RB,22,2018,0,0,2,14,2,36,0,0,0,0,0,357,1509,14,49,376,1,,,,Arkansas
2016,5,172,CLE,Rashard Higgins,WR,21,2019,0,0,0,6,6,54,0,0,0,0,0,1,4,0,76,1016,7,,,,Colorado St.
2016,5,173,CLE,Trey Caldwell,DB,22,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,La-Monroe
2016,5,174,SFO,Fahn Cooper,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi
2016,5,175,SDG,Jatavis Brown,OLB,22,2019,0,0,1,15,15,56,0,0,0,0,0,0,0,0,0,0,0,187,,4.5,Akron
2016,6,176,DEN,Andy Janovich,FB,23,2019,0,0,0,2,2,50,0,0,0,0,0,13,51,3,22,233,1,14,,,Nebraska
2016,6,177,LAR,Temarrick Hemingway,TE,23,2018,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,,,South Carolina St.
2016,6,178,KAN,D.J. White,CB,22,2019,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,13,1,,Georgia Tech
2016,6,179,SDG,Drew Kaser,P,23,2018,0,0,2,6,6,36,0,0,0,0,0,1,0,0,0,0,0,1,,,Texas A&M
2016,6,180,MIN,Moritz Boehringer,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,
2016,6,181,JAX,Tyrone Holmes,OLB,22,2017,0,0,0,1,,15,0,0,0,0,0,0,0,0,0,0,0,3,,1,Montana
2016,6,182,BAL,Keenan Reynolds,RB,22,2018,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Navy
2016,6,183,TAM,Devante Bond,OLB,23,2019,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,31,,,Oklahoma
2016,6,184,NYG,Jerell Adams,TE,23,2019,0,0,0,2,2,30,0,0,0,0,0,0,0,0,24,214,1,3,,,South Carolina
2016,6,185,CHI,DeAndre Houston-Carson,S,23,2019,0,0,0,3,3,48,0,0,0,0,0,0,0,0,0,0,0,21,,,William & Mary
2016,6,186,MIA,Jakeem Grant,WR,23,2019,0,0,0,9,9,52,0,0,0,0,0,9,23,1,53,635,4,3,,,Texas Tech
2016,6,187,WAS,Nate Sudfeld,QB,22,2018,0,0,0,1,,3,20,25,156,1,0,3,20,0,0,0,0,,,,Indiana
2016,6,188,MIN,David Morgan,TE,23,2018,0,0,0,1,1,38,0,0,0,0,0,0,0,0,16,135,1,,,,Texas-San Antonio
2016,6,189,DAL,Anthony Brown,CB,22,2019,0,0,2,13,13,56,0,0,0,0,0,0,0,0,0,0,0,136,4,3,Purdue
2016,6,190,LAR,Josh Forrest,ILB,24,2017,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,6,,,Kentucky
2016,6,191,DET,Jake Rudock,QB,23,2017,0,0,0,0,0,3,3,5,24,0,1,0,0,0,0,0,0,,,,Michigan
2016,6,192,BUF,Kolby Listenbee,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,TCU
2016,6,193,TEN,Sebastian Tretola,G,24,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas
2016,6,194,OAK,Cory James,OLB,23,2017,0,0,1,7,7,26,0,0,0,0,0,0,0,0,0,0,0,78,,,Colorado St.
2016,6,195,ATL,Wes Schweitzer,G,22,2019,0,0,2,19,19,46,0,0,0,0,0,0,0,0,0,0,0,,,,San Jose St.
2016,6,196,PHI,Blake Countess,CB,23,2019,0,0,0,4,,43,0,0,0,0,0,0,0,0,0,0,0,38,2,1,Auburn
2016,6,197,TAM,Danny Vitale,FB,22,2019,0,0,0,1,,44,0,0,0,0,0,1,3,0,15,145,0,16,,,Northwestern
2016,6,198,SDG,Derek Watt,FB,23,2019,0,0,0,1,1,64,0,0,0,0,0,19,49,1,10,152,0,26,,,Wisconsin
2016,6,199,CIN,Cody Core,WR,22,2019,0,0,0,3,3,51,0,0,0,0,0,0,0,0,33,388,1,12,,,Mississippi
2016,6,200,GNB,Kyle Murphy,T,22,2017,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford
2016,6,201,JAX,Brandon Allen,QB,24,2019,0,0,0,2,,3,39,84,515,3,2,10,39,0,0,0,0,,,,Arkansas
2016,6,202,DET,Anthony Zettel,DT,24,2019,0,0,1,10,9,49,0,0,0,0,0,0,0,0,0,0,0,51,,7.5,Penn St.
2016,6,203,KAN,Dadi Nicolas,DE,23,2016,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech
2016,6,204,MIA,Jordan Lucas,S,23,2019,0,0,0,4,1,49,0,0,0,0,0,0,0,0,0,0,0,29,1,1,Penn St.
2016,6,205,ARI,Harlan Miller,CB,22,2018,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,9,1,,SE Louisiana
2016,6,206,LAR,Mike Thomas,WR,22,2019,0,0,0,1,1,40,0,0,0,0,0,0,0,0,10,144,0,9,,,Southern Miss
2016,6,207,SFO,Jeff Driskel,QB,23,2019,0,0,0,5,,12,167,281,1688,10,6,47,281,3,1,6,0,,,,Louisiana Tech
2016,6,208,NWE,Kamu Grugier-Hill,OLB,22,2019,0,0,1,10,,54,0,0,0,0,0,0,0,0,0,0,0,76,1,1,East. Illinois
2016,6,209,BAL,Maurice Canady,CB,22,2019,0,0,0,3,2,32,0,0,0,0,0,0,0,0,0,0,0,66,1,,Virginia
2016,6,210,DET,Jimmy Landes,LS,24,,0,0,0,,,,,,,,,,,,,,,,,,Baylor
2016,6,211,SFO,Kelvin Taylor,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Florida
2016,6,212,DAL,Kavon Frazier,S,22,2019,0,0,0,3,3,44,0,0,0,0,0,0,0,0,0,0,0,45,,1,Central Michigan
2016,6,213,SFO,Aaron Burbridge,WR,22,2016,0,0,0,1,1,16,0,0,0,0,0,0,0,0,7,88,0,9,,,Michigan St.
2016,6,214,NWE,Elandon Roberts,ILB,22,2019,0,0,2,21,21,60,0,0,0,0,0,0,0,0,1,38,1,119,,4,Houston
2016,6,215,SEA,Joey Hunt,C,22,2019,0,0,1,7,7,34,0,0,0,0,0,0,0,0,0,0,0,,,,TCU
2016,6,216,DAL,Darius Jackson,RB,22,2018,0,0,0,0,0,4,0,0,0,0,0,6,16,0,0,0,0,,,,East. Michigan
2016,6,217,DAL,Rico Gathers,TE,22,2018,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,45,0,,,,Baylor
2016,6,218,BUF,Kevon Seymour,CB,22,2017,0,0,0,3,1,31,0,0,0,0,0,0,0,0,0,0,0,38,,,USC
2016,6,219,DEN,Will Parks,S,22,2019,0,0,0,9,9,62,0,0,0,0,0,0,0,0,0,0,0,104,4,1,Arizona
2016,6,220,PIT,Travis Feeney,OLB,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington
